year,profile,true_t,flat_t,error_pct
2021,flat_office,8.058,8.1,0.53
2021,summer_hotel,8.082,8.1,0.23
2021,winter_heating,8.635,8.64,0.06
2021,cooling_retail,8.478,8.505,0.32
2021,_annual_flat_factor,0.675,,
2022,flat_office,7.899,7.927,0.36
2022,summer_hotel,7.841,7.927,1.1
2022,winter_heating,8.507,8.456,-0.6
2022,cooling_retail,8.272,8.324,0.63
2022,_annual_flat_factor,0.6606,,
2023,flat_office,7.547,7.575,0.38
2023,summer_hotel,7.494,7.575,1.08
2023,winter_heating,8.13,8.08,-0.61
2023,cooling_retail,7.902,7.954,0.66
2023,_annual_flat_factor,0.6313,,
2024,flat_office,7.282,7.294,0.17
2024,summer_hotel,7.182,7.294,1.57
2024,winter_heating,7.88,7.781,-1.25
2024,cooling_retail,7.604,7.659,0.72
2024,_annual_flat_factor,0.6079,,
2025,flat_office,6.982,6.969,-0.18
2025,summer_hotel,6.768,6.969,2.97
2025,winter_heating,7.595,7.434,-2.12
2025,cooling_retail,7.227,7.318,1.25
2025,_annual_flat_factor,0.5808,,
