cn,group,year,extra_eu_net_mass_t
2523,cement,2023,11999.8
2523,cement,2024,28287.3
2523,cement,2025,13101.4
3102,fertiliser N,2023,2277.3
3102,fertiliser N,2024,842.0
3102,fertiliser N,2025,3031.2
3105,fertiliser mixed,2023,989.8
3105,fertiliser mixed,2024,1542.9
3105,fertiliser mixed,2025,615.5
72,iron and steel,2023,78545.9
72,iron and steel,2024,95577.1
72,iron and steel,2025,115698.7
73,articles of iron/steel,2023,46323.7
73,articles of iron/steel,2024,28889.1
73,articles of iron/steel,2025,35149.9
76,aluminium,2023,9458.2
76,aluminium,2024,11423.6
76,aluminium,2025,15950.1
