path,field,class,reason
CBAM Report,Report issue date,A,report metadata
CBAM Report,Draft report ID,A,report metadata
CBAM Report,Report ID,A,report metadata
CBAM Report,Reporting period,A,report metadata
CBAM Report,Year,A,report metadata
CBAM Report,Total goods imported,A,report metadata
CBAM Report,Total emissions,A,report metadata
CBAM Report > Reporting declarant,Identification number,A,importer registry data
CBAM Report > Reporting declarant,Name,A,importer registry data
CBAM Report > Reporting declarant,Role,A,importer registry data
CBAM Report > Reporting declarant > Address,Member State of establishment,A,address
CBAM Report > Reporting declarant > Address,Sub-division,A,address
CBAM Report > Reporting declarant > Address,City,A,address
CBAM Report > Reporting declarant > Address,Street,A,address
CBAM Report > Reporting declarant > Address,Street additional line,A,address
CBAM Report > Reporting declarant > Address,Number,A,address
CBAM Report > Reporting declarant > Address,Postcode,A,address
CBAM Report > Reporting declarant > Address,P.O. Box,A,address
CBAM Report > Representative,Identification number,A,registry data
CBAM Report > Representative,Name,A,registry data
CBAM Report > Representative > Address,Member State of establishment,A,address
CBAM Report > Representative > Address,Sub-division,A,address
CBAM Report > Representative > Address,City,A,address
CBAM Report > Representative > Address,Street,A,address
CBAM Report > Representative > Address,Street additional line,A,address
CBAM Report > Representative > Address,Number,A,address
CBAM Report > Representative > Address,Postcode,A,address
CBAM Report > Representative > Address,P.O. Box,A,address
CBAM Report > Importer,Identification number,A,registry data
CBAM Report > Importer,Name,A,registry data
CBAM Report > Importer > Address,Member State or country of establishment,A,address
CBAM Report > Importer > Address,Sub-division,A,address
CBAM Report > Importer > Address,City,A,address
CBAM Report > Importer > Address,Street,A,address
CBAM Report > Importer > Address,Street additional line,A,address
CBAM Report > Importer > Address,Number,A,address
CBAM Report > Importer > Address,Postcode,A,address
CBAM Report > Importer > Address,P.O. Box,A,address
CBAM Report > Competent authority,Reference number,A,admin
CBAM Report > Signatures > Report confirmation,Report global data confirmation,A,admin
CBAM Report > Signatures > Report confirmation,Use of data confirmation,A,admin
CBAM Report > Signatures > Report confirmation,Date of signature,A,admin
CBAM Report > Signatures > Report confirmation,Place of signature,A,admin
CBAM Report > Signatures > Report confirmation,Signature,A,admin
CBAM Report > Signatures > Report confirmation,Position of person signing,A,admin
CBAM Report > Signatures > Type of applicable reporting methodology,Other applicable reporting methodology,A,declaration choice
CBAM Report > Remarks,Additional information,A,free text
CBAM Report > CBAM goods imported,Goods item number,I,customs declaration line
CBAM Report > CBAM goods imported > Representative,Identification number,A,registry data
CBAM Report > CBAM goods imported > Representative,Name,A,registry data
CBAM Report > CBAM goods imported > Representative > Address,Member State of establishment,A,address
CBAM Report > CBAM goods imported > Representative > Address,Sub-division,A,address
CBAM Report > CBAM goods imported > Representative > Address,City,A,address
CBAM Report > CBAM goods imported > Representative > Address,Street,A,address
CBAM Report > CBAM goods imported > Representative > Address,Street additional line,A,address
CBAM Report > CBAM goods imported > Representative > Address,Number,A,address
CBAM Report > CBAM goods imported > Representative > Address,Postcode,A,address
CBAM Report > CBAM goods imported > Representative > Address,P.O. Box,A,address
CBAM Report > CBAM goods imported > Importer,Identification number,A,registry data
CBAM Report > CBAM goods imported > Importer,Name,A,registry data
CBAM Report > CBAM goods imported > Importer > Address,Member State or country of establishment,A,address
CBAM Report > CBAM goods imported > Importer > Address,Sub-division,A,address
CBAM Report > CBAM goods imported > Importer > Address,City,A,address
CBAM Report > CBAM goods imported > Importer > Address,Street,A,address
CBAM Report > CBAM goods imported > Importer > Address,Street additional line,A,address
CBAM Report > CBAM goods imported > Importer > Address,Number,A,address
CBAM Report > CBAM goods imported > Importer > Address,Postcode,A,address
CBAM Report > CBAM goods imported > Importer > Address,P.O. Box,A,address
CBAM Report > CBAM goods imported > Commodity code,Harmonized system sub-heading code,I,SAD box 33 (CN code)
CBAM Report > CBAM goods imported > Commodity code,Combined nomenclature code,I,SAD box 33 (CN code)
CBAM Report > CBAM goods imported > Commodity code > Commodity details,Description of goods,I,SAD box 31
CBAM Report > CBAM goods imported > Country of origin,Country code,I,SAD box 34
CBAM Report > CBAM goods imported > Imported quantity per customs procedure,Sequence number,I,SAD procedure
CBAM Report > CBAM goods imported > Imported quantity per customs procedure > Procedure,Requested procedure,I,SAD box 37
CBAM Report > CBAM goods imported > Imported quantity per customs procedure > Procedure,Previous procedure,I,SAD box 37
Inward processing information,Member State of inward processing authorisation,I,customs authorisation
Inward processing information,Inward processing waiver for bill of discharge,I,customs authorisation
Inward processing information,Authorisation,I,customs authorisation
Inward processing information,Globalisation time start,I,customs authorisation
Inward processing information,Globalisation time end,I,customs authorisation
Inward processing information,Deadline for submission of bill of discharge,I,customs authorisation
Area of import > Goods measure (per procedure),Net mass,I,SAD net mass
Area of import > Goods measure (per procedure),Supplementary units,I,SAD net mass
Area of import > Goods measure (per procedure),Type of measurement unit,I,SAD net mass
Area of import > Goods measure (per procedure) > Goods measure (inward processing),Net mass,I,customs
Area of import > Goods measure (per procedure) > Goods measure (inward processing),Supplementary units,I,customs
